timestamp,character,ilvl,dungeon,at_level,rested,bonus_floor,red,blue,shards,stones
2022-04-23-10:14:25,Kekpuncher,1006,Shadow-2,True,True,None,267,739,13120,16
2022-04-23-10:22:09,Kekpuncher,1006,Shadow-2,True,False,Treasure,283,919,6487,8
2022-04-23-11:08:07,Kimjongchil,960,Shadow-1,True,False,None,99,355,5819,5
2022-04-23-11:16:19,Kimjongchil,960,Shadow-1,True,False,None,135,408,5230,6
2022-04-24-09:05:25,Kimjongchil,1066,Shadow-3,True,False,None,173,485,7162,10
2022-04-24-09:13:14,Kimjongchil,1066,Shadow-3,True,False,Treasure,121,395,13481,11
2022-04-25-08:55:20,Trif,1370,Sun-1,True,True,None,111,381,3857,11
2022-04-25-09:03:13,Trif,1370,Sun-1,True,True,None,102,331,3290,3
2022-04-25-09:45:15,Derplearning,1316,Star-2,True,True,None,63,223,2744,3
2022-04-25-09:51:27,Derplearning,1316,Star-2,True,True,None,99,243,2761,7
2022-04-25-14:23:46,Jazzercist,1357,Moon-3,True,True,None,99,283,3223,10
2022-04-25-14:31:54,Jazzercist,1357,Moon-3,True,False,None,61,198,1860,2
2022-04-26-09:13:11,Trif,1370,Sun-1,True,False,None,59,152,1888,7
2022-04-26-09:21:04,Trif,1370,Sun-1,True,False,None,61,188,1931,3
2022-04-26-10:25:39,Jazzercist,1360,Moon-3,True,False,None,46,228,1603,3
2022-04-26-10:34:14,Jazzercist,1360,Moon-3,True,False,Treasure,74,147,3244,3
2022-04-26-16:10:26,Goberinsrayer,1040,Shadow-3,True,True,None,295,916,14877,19
2022-04-26-16:18:08,Goberinsrayer,1040,Shadow-3,True,True,None,312,866,14021,20
2022-04-27-07:35:13,Goberinsrayer,1053,Shadow-3,True,True,None,322,813,14916,21
2022-04-27-07:41:18,Goberinsrayer,1053,Shadow-3,True,False,None,109,545,7667,8
2022-04-27-09:30:44,Kekpuncher,1006,Shadow-2,True,True,None,228,861,14532,22
2022-04-29-10:15:04,Kimjongchil,1316,Star-2,True,True,None,75,222,2468,3
2022-04-29-10:21:53,Kimjongchil,1316,Star-2,True,False,None,55,116,1564,1
2022-04-29-11:48:50,Jazzercist,1366,Moon-3,True,True,None,111,320,2615,9
2022-04-29-11:57:48,Jazzercist,1366,Moon-3,True,False,None,66,107,1737,2
2022-04-30-08:52:25,Derplearning,1325,Moon-1,True,True,Treasure,121,820,2360,5
2022-04-30-09:00:34,Derplearning,1325,Moon-1,True,True,None,95,227,2781,5
2022-05-01-09:55:10,Trif,1370,Sun-1,True,True,None,79,387,3640,6
2022-05-01-10:03:06,Trif,1370,Sun-1,True,True,None,129,363,4410,9
2022-05-01-13:36:36,Kimjongchil,1316,Star-2,True,True,None,105,268,2390,3
2022-05-01-13:42:38,Kimjongchil,1316,Star-2,True,False,None,38,155,1274,1
2022-05-02-10:26:47,Jazzercist,1366,Moon-3,True,True,None,98,341,3351,3
2022-05-02-10:34:22,Jazzercist,1366,Moon-3,True,True,None,118,379,3606,9
2022-05-02-12:46:06,Derplearning,1325,Moon-1,True,True,None,71,260,2744,3
2022-05-02-12:54:42,Derplearning,1325,Moon-1,True,True,None,70,273,2937,9
2022-05-02-17:36:26,Trif,1370,Sun-1,True,False,Treasure,52,161,3123,6
